iter	Passed	Remaining
0	55	27370
1	58	14369
2	61	10068
3	63	7834
4	66	6488
5	68	5577
6	70	4935
7	73	4460
8	75	4079
9	77	3764
10	79	3506
11	81	3289
12	83	3102
13	85	2940
14	87	2797
15	89	2673
16	91	2565
17	93	2466
18	95	2380
19	96	2298
20	98	2229
21	100	2167
22	102	2110
23	104	2057
24	106	2006
25	108	1957
26	110	1915
27	112	1876
28	114	1839
29	116	1807
30	118	1773
31	120	1741
32	122	1714
33	124	1693
34	127	1675
35	129	1650
36	131	1626
37	133	1607
38	135	1585
39	137	1565
40	139	1549
41	141	1531
42	143	1512
43	145	1495
44	147	1478
45	149	1462
46	152	1453
47	154	1437
48	156	1424
49	158	1412
50	160	1400
51	163	1389
52	165	1376
53	167	1364
54	169	1355
55	171	1345
56	173	1335
57	175	1323
58	177	1311
59	179	1301
60	181	1290
61	183	1282
62	185	1273
63	187	1264
64	190	1259
65	193	1258
66	195	1250
67	198	1244
68	200	1240
69	203	1236
70	207	1239
71	209	1230
72	212	1230
73	214	1222
74	217	1216
75	219	1210
76	221	1203
77	223	1196
78	226	1190
79	228	1187
80	231	1180
81	232	1173
82	234	1166
83	237	1159
84	241	1162
85	243	1156
86	245	1152
87	248	1148
88	250	1142
89	252	1137
90	255	1135
91	258	1131
92	260	1125
93	262	1120
94	264	1115
95	267	1110
96	269	1106
97	273	1106
98	275	1101
99	277	1095
100	279	1091
101	282	1086
102	284	1082
103	287	1079
104	289	1074
105	292	1072
106	294	1068
107	296	1063
108	298	1058
109	301	1054
110	303	1049
111	305	1045
112	307	1040
113	309	1036
114	312	1031
115	314	1027
116	316	1023
117	318	1019
118	321	1014
119	323	1010
120	325	1006
121	328	1002
122	330	998
123	332	994
124	334	991
125	336	986
126	338	982
127	341	978
128	343	975
129	345	971
130	348	968
131	350	965
132	353	961
133	355	958
134	358	954
135	360	952
136	363	948
137	365	945
138	367	941
139	369	937
140	371	933
141	375	933
142	378	932
143	381	929
144	384	928
145	388	927
146	390	924
147	393	923
148	396	920
149	399	918
150	402	915
151	404	912
152	407	909
153	409	906
154	411	902
155	413	899
156	415	895
157	420	896
158	422	892
159	424	889
160	426	885
161	428	880
162	430	876
163	432	873
164	434	869
165	436	865
166	438	861
167	441	858
168	443	855
169	445	851
170	447	847
171	450	845
172	452	841
173	454	838
174	456	835
175	459	833
176	462	830
177	465	828
178	467	825
179	470	823
180	472	819
181	475	818
182	479	816
183	482	815
184	485	813
185	488	811
186	491	809
187	494	808
188	497	805
189	500	802
190	502	800
191	504	796
192	507	793
193	509	790
194	511	787
195	514	784
196	516	781
197	518	777
198	520	774
199	522	771
200	524	767
201	527	764
202	529	761
203	531	757
204	533	754
205	535	751
206	538	748
207	540	745
208	542	742
209	544	739
210	547	736
211	549	733
212	551	730
213	553	727
214	555	723
215	558	721
216	561	719
217	564	716
218	566	713
219	568	710
220	570	707
221	573	705
222	576	703
223	579	700
224	581	697
225	583	694
226	585	691
227	588	688
228	590	685
229	592	682
230	595	680
231	597	677
232	599	674
233	602	671
234	604	668
235	608	667
236	611	665
237	613	662
238	615	659
239	619	657
240	621	654
241	623	652
242	626	649
243	628	646
244	631	643
245	633	641
246	635	637
247	637	634
248	639	631
249	641	628
250	643	625
251	645	622
252	647	619
253	650	616
254	652	614
255	655	612
256	657	609
257	660	606
258	662	603
