iter	Passed	Remaining
0	73	73065
1	96	47948
2	114	38019
3	130	32492
4	144	28796
5	162	26961
6	178	25288
7	193	23976
8	205	22604
9	218	21650
10	232	20938
11	245	20208
12	259	19722
13	273	19273
14	293	19281
15	309	19058
16	325	18799
17	338	18476
18	353	18235
19	365	17893
20	379	17695
21	391	17396
22	407	17294
23	422	17195
24	437	17056
25	451	16909
26	466	16818
27	480	16689
28	494	16566
29	508	16456
30	526	16459
31	541	16385
32	560	16414
33	576	16369
34	591	16314
35	606	16237
36	621	16179
37	634	16073
38	648	15967
39	660	15863
40	677	15854
41	693	15809
42	706	15731
43	721	15672
44	737	15649
45	751	15576
46	766	15543
47	782	15523
48	800	15532
49	813	15447
50	826	15379
51	840	15315
52	857	15330
53	870	15242
54	884	15191
55	898	15146
56	910	15065
57	921	14967
58	935	14918
59	950	14885
60	962	14812
61	977	14785
62	983	14625
63	997	14593
64	1010	14533
65	1023	14478
66	1036	14427
67	1053	14439
68	1066	14388
69	1079	14336
70	1091	14280
71	1106	14264
72	1122	14254
73	1135	14210
74	1151	14197
75	1163	14139
76	1176	14100
77	1187	14039
78	1203	14033
79	1219	14023
80	1235	14012
81	1248	13982
82	1263	13958
83	1276	13922
84	1288	13874
85	1304	13859
86	1316	13819
87	1329	13781
88	1342	13743
89	1356	13720
90	1369	13681
91	1380	13626
92	1396	13617
93	1410	13594
94	1424	13573
95	1438	13547
96	1452	13523
97	1464	13476
98	1477	13447
99	1491	13425
100	1505	13396
101	1518	13371
102	1534	13362
103	1546	13327
104	1562	13318
105	1579	13322
106	1597	13334
107	1619	13374
108	1635	13368
109	1649	13344
110	1662	13312
111	1676	13293
112	1690	13272
113	1703	13242
114	1717	13214
115	1732	13200
116	1745	13176
117	1760	13159
118	1773	13133
119	1788	13115
120	1803	13103
121	1810	13031
122	1823	13000
123	1838	12990
124	1852	12968
125	1868	12963
126	1883	12947
127	1895	12912
128	1912	12914
129	1925	12886
130	1937	12855
131	1958	12879
132	1977	12892
133	1997	12912
134	2018	12931
135	2033	12919
136	2049	12911
137	2067	12916
138	2084	12914
139	2104	12927
140	2119	12911
141	2139	12926
142	2158	12938
143	2174	12925
144	2189	12912
145	2204	12896
146	2219	12879
147	2234	12863
148	2248	12840
149	2262	12819
150	2277	12806
151	2292	12786
152	2306	12767
153	2321	12755
