iter	Huber:delta=2.0
0	0.5980858516
1	0.5942466185
2	0.5906813264
3	0.587388913
4	0.5845215353
5	0.5821122364
6	0.5796199717
7	0.5775018562
8	0.5751076934
9	0.5730721574
10	0.5713171754
11	0.569732014
12	0.5682222027
13	0.5670094618
14	0.5656731166
15	0.5644133866
16	0.5632710944
17	0.5623093785
18	0.5613393263
19	0.5606010385
20	0.5601237072
21	0.5596089739
22	0.5589307972
23	0.5582641468
24	0.55783006
25	0.5573702191
26	0.5571010712
27	0.55666543
28	0.5563581064
29	0.5557492719
30	0.5553620341
31	0.5550724289
32	0.5547337781
33	0.5542696312
34	0.5541037688
35	0.553763711
36	0.5534808069
37	0.553170458
38	0.5529801065
39	0.5526503444
40	0.5524746282
41	0.5521506347
42	0.5520234511
43	0.5518721658
44	0.55163485
45	0.5514278832
46	0.551242161
47	0.5509323041
48	0.5506698131
49	0.5503750823
50	0.5502049986
51	0.5500596423
52	0.5498611335
53	0.5495538501
54	0.5493675536
55	0.5491344445
56	0.548878583
57	0.5486733487
58	0.5484961872
59	0.5482519136
60	0.5480578583
61	0.5478674892
62	0.5476751877
63	0.5474627726
64	0.5472677245
65	0.5472328626
66	0.547146905
67	0.5470326683
68	0.54689698
69	0.5467308268
70	0.5466020377
71	0.5464380305
72	0.5463354708
73	0.5462078739
74	0.546046987
75	0.5458443722
76	0.545742891
77	0.5456530165
78	0.5455311594
79	0.5453464117
80	0.5452546089
81	0.5451673051
82	0.5449660242
83	0.5448607676
84	0.5448172795
85	0.5447204658
86	0.5445862633
87	0.5444954963
88	0.5444006861
89	0.5442668561
90	0.544136356
91	0.5440070343
92	0.5438951525
93	0.543860375
94	0.5437395458
95	0.5436387524
96	0.5434927385
97	0.5434154036
98	0.5432448089
99	0.5431358484
100	0.5430439759
101	0.5429578912
102	0.5428238142
103	0.5427180172
104	0.5426771066
105	0.5425803439
106	0.5424730228
107	0.5424155616
108	0.5423380832
109	0.5421904415
110	0.542059398
111	0.5419834102
112	0.5418864368
113	0.5417367774
114	0.5416468715
115	0.541508386
116	0.5414182644
117	0.5413263317
118	0.5411852209
119	0.5410711918
120	0.5409989669
121	0.5409165428
122	0.5408307444
123	0.5407448979
124	0.5406638232
125	0.5406205253
126	0.5405353402
127	0.540482331
128	0.5403496242
129	0.540266845
130	0.5401554631
131	0.5400707149
132	0.5400314415
133	0.5399515161
134	0.5398811986
135	0.5398156814
136	0.5397905307
137	0.5397256958
138	0.5396403914
139	0.5395785887
140	0.5394674188
141	0.5393421598
142	0.5393096867
143	0.5392076802
144	0.5391848098
145	0.5390473263
146	0.5389880749
147	0.5389240473
148	0.5388189089
149	0.5387658516
150	0.5386985372
151	0.5386149686
152	0.538526718
153	0.5384579452
154	0.5384206259
155	0.5383298293
156	0.5382905048
157	0.5382047268
158	0.538129269
159	0.5380489565
160	0.5380041939
161	0.5378822016
162	0.537786784
163	0.5377547004
164	0.5377029131
165	0.5376688229
166	0.5376108383
167	0.5375270556
168	0.5374392936
169	0.5374083936
170	0.5373595235
171	0.5372809366
172	0.5372031866
173	0.537061121
174	0.5369792121
175	0.5369338073
176	0.536838922
177	0.5367627488
178	0.5367268675
179	0.5366433491
180	0.5366177431
181	0.5365506379
182	0.5364798544
183	0.5364061569
184	0.5363628852
185	0.5360776931
186	0.5360241855
187	0.535949171
188	0.5359125984
189	0.5358555423
190	0.5358130844
191	0.5357467199
192	0.5356590461
193	0.5355752928
194	0.5354983253
195	0.5354352467
196	0.5353542047
197	0.5353043656
198	0.5352187389
199	0.5351666527
200	0.5351063893
201	0.5350298065
202	0.5349786582
203	0.5349487908
204	0.5348796159
205	0.5348266913
206	0.5347799541
207	0.5347252492
208	0.5346342016
209	0.5345728877
210	0.5345445686
211	0.5344096777
212	0.5343298015
213	0.5342820711
214	0.5342028168
215	0.5341595203
216	0.5340709302
217	0.5340299819
218	0.5339765297
219	0.5339159655
220	0.5338176659
221	0.5337645458
222	0.5337295846
223	0.5336720441
224	0.5336089438
225	0.5335278496
226	0.5334629169
227	0.5334211544
228	0.5333556223
229	0.5332382068
230	0.5331683868
231	0.5330945132
232	0.5329816785
233	0.5329074202
234	0.5327828101
235	0.532746669
236	0.5326919817
237	0.5326187202
238	0.5325371955
239	0.5324731299
240	0.5324162905
241	0.5323533881
242	0.5322939321
243	0.5322171942
244	0.5320940332
245	0.532035579
246	0.531993814
247	0.5319338274
248	0.5318819307
249	0.5317921935
250	0.5317052171
251	0.5316615949
252	0.5315784577
253	0.5315049391
254	0.5314461073
255	0.5314049588
256	0.5313506934
257	0.531282043
258	0.5312010673
259	0.5311168597
260	0.5310569241
261	0.531024197
262	0.530986796
263	0.5309082115
264	0.5308507402
265	0.5308039618
266	0.5307428627
267	0.5306684078
268	0.5305949208
269	0.5305373949
270	0.5304795231
271	0.5304077381
272	0.5303733315
273	0.5302915082
274	0.5302091053
275	0.5301365695
276	0.5300709479
277	0.5300145676
278	0.5299859882
279	0.5299446028
280	0.5298906905
281	0.529837574
282	0.5297882262
283	0.5297311173
284	0.5296759717
285	0.5295913707
286	0.5295137156
287	0.5294458355
288	0.5293845655
289	0.5293266132
290	0.529263433
291	0.5292029221
292	0.5291400516
293	0.5291211501
294	0.5290806931
295	0.529025848
296	0.5289554939
297	0.5289039732
298	0.5287900228
299	0.5287360337
