config,seed,odds_cap,roi,n,n_pos,n_blocks
3m_p02,42,none,13.8,6718,5,6
3m_p02,123,none,8.87,6714,4,6
3m_p02,777,none,14.78,6394,4,6
3m_p02,2024,none,12.21,6595,5,6
3m_p02,31337,none,10.86,6497,3,6
4m_p02,42,none,14.0,5768,5,6
4m_p02,123,none,13.21,5768,3,6
4m_p02,777,none,15.51,5540,5,6
4m_p02,2024,none,13.22,5651,3,6
4m_p02,31337,none,13.18,5669,4,6
4m_p015,42,none,16.98,3318,4,6
4m_p015,123,none,19.67,3368,3,6
4m_p015,777,none,17.74,3288,3,6
4m_p015,2024,none,15.21,3371,4,6
4m_p015,31337,none,6.37,3304,3,6
3m_p02,42,50,-1.02,6027,3,6
3m_p02,42,10,-0.14,5517,4,6
3m_p02,42,5,0.31,5292,4,6
4m_p02,42,50,-4.97,4939,2,6
4m_p02,42,10,-2.11,4477,3,6
4m_p02,42,5,-1.55,4303,3,6
4m_p015,42,50,-6.32,2702,2,6
4m_p015,42,10,-0.6,2398,3,6
4m_p015,42,5,-1.72,2323,3,6
