config,seed,odds_cap,roi,n,n_pos,n_blocks
3m_raw,42,none,13.8,6718,5,6
3m_raw,123,none,8.87,6714,4,6
3m_raw,777,none,14.78,6394,4,6
3m_raw,2024,none,12.21,6595,5,6
3m_raw,31337,none,10.86,6497,3,6
3m_blend50,42,none,20.72,4391,5,6
3m_blend50,123,none,14.61,4207,5,6
3m_blend50,777,none,17.92,4108,5,6
3m_blend50,2024,none,18.31,4265,4,6
3m_blend50,31337,none,16.28,4179,5,6
4m_raw,42,none,14.0,5768,5,6
4m_raw,123,none,13.21,5768,3,6
4m_raw,777,none,15.51,5540,5,6
4m_raw,2024,none,13.22,5651,3,6
4m_raw,31337,none,13.18,5669,4,6
4m_blend50,42,none,21.8,3783,5,6
4m_blend50,123,none,21.79,3640,4,6
4m_blend50,777,none,24.3,3553,5,6
4m_blend50,2024,none,18.82,3698,4,6
4m_blend50,31337,none,20.69,3668,4,6
3m_raw,42,50,-1.02,6027,3,6
3m_raw,42,10,-0.14,5517,4,6
3m_raw,42,5,0.31,5292,4,6
3m_blend50,42,50,-2.71,3722,2,6
3m_blend50,42,10,-1.81,3267,2,6
3m_blend50,42,5,-1.05,3094,4,6
4m_raw,42,50,-4.97,4939,2,6
4m_raw,42,10,-2.11,4477,3,6
4m_raw,42,5,-1.55,4303,3,6
4m_blend50,42,50,-8.15,2967,2,6
4m_blend50,42,10,-3.41,2556,3,6
4m_blend50,42,5,-2.84,2419,3,6
