strategy,permutation,roi
ev005_agree_p02,0,1185.33
ev005_agree_p02,1,1046.85
ev005_agree_p02,2,1031.67
ev005_agree_p02,3,1190.81
ev005_agree_p02,4,1161.1
ev005_agree_p02,5,1044.56
ev005_agree_p02,6,1039.2
ev005_agree_p02,7,1198.12
ev005_agree_p02,8,1218.64
ev005_agree_p02,9,1176.24
ev005_agree_p02,10,1176.41
ev005_agree_p02,11,1119.61
ev005_agree_p02,12,1208.47
ev005_agree_p02,13,1127.21
ev005_agree_p02,14,1139.26
ev005_agree_p02,15,1126.32
ev005_agree_p02,16,1137.47
ev005_agree_p02,17,1099.6
ev005_agree_p02,18,1156.51
ev005_agree_p02,19,1141.42
ev005_agree_p02,-1,13.8
conf_ev_015,0,1683.54
conf_ev_015,1,1498.82
conf_ev_015,2,1493.9
conf_ev_015,3,1673.77
conf_ev_015,4,1640.66
conf_ev_015,5,1475.67
conf_ev_015,6,1483.27
conf_ev_015,7,1685.61
conf_ev_015,8,1711.3
conf_ev_015,9,1624.9
conf_ev_015,10,1681.4
conf_ev_015,11,1532.04
conf_ev_015,12,1668.88
conf_ev_015,13,1623.87
conf_ev_015,14,1655.66
conf_ev_015,15,1622.69
conf_ev_015,16,1665.45
conf_ev_015,17,1585.81
conf_ev_015,18,1615.55
conf_ev_015,19,1576.22
conf_ev_015,-1,11.44
