block,week,odds,target,pnl,sport
0,202603,2.37,1,1.37,Soccer
0,202603,1.4,1,0.3999999999999999,Tennis
0,202603,60.0,0,-1.0,American Football
0,202603,12.3675,0,-1.0,Soccer
0,202603,1.6,1,0.6000000000000001,Tennis
0,202603,1.65,1,0.6499999999999999,Tennis
0,202603,1.5,1,0.5,Tennis
0,202603,2.05,0,-1.0,Soccer
0,202603,50.5143,0,-1.0,Tennis
0,202603,1.4,1,0.3999999999999999,Tennis
0,202603,1.6,1,0.6000000000000001,Tennis
0,202603,1.6,1,0.6000000000000001,Tennis
0,202603,1.45,1,0.44999999999999996,Tennis
0,202603,1.4,1,0.3999999999999999,Tennis
0,202603,79.2122,0,-1.0,Soccer
0,202603,1.6,1,0.6000000000000001,Tennis
0,202603,2.1,0,-1.0,Soccer
0,202603,1.55,1,0.55,League of Legends
0,202603,1.55,1,0.55,League of Legends
0,202603,1.6,1,0.6000000000000001,Tennis
0,202603,107.6925,0,-1.0,Soccer
0,202603,2.05,1,1.0499999999999998,Soccer
0,202603,1.4,1,0.3999999999999999,Tennis
0,202603,86.7132,0,-1.0,Ice Hockey
0,202603,1.95,0,-1.0,Soccer
0,202603,1.55,1,0.55,League of Legends
0,202603,3.15,0,-1.0,Soccer
0,202603,71.61,0,-1.0,American Football
0,202603,1.6,1,0.6000000000000001,Tennis
0,202603,2.15,1,1.15,Soccer
1,202604,1.45,0,-1.0,Tennis
1,202604,2.0,0,-1.0,Soccer
1,202604,2.6,0,-1.0,League of Legends
1,202604,1.4,1,0.3999999999999999,Tennis
1,202604,1.65,1,0.6499999999999999,Tennis
1,202604,2.85,0,-1.0,Soccer
1,202604,69.4248,0,-1.0,Ice Hockey
1,202604,1.45,1,0.44999999999999996,Tennis
1,202604,1.4,0,-1.0,Tennis
1,202604,94.6437,0,-1.0,American Football
1,202604,1.52,1,0.52,FIFA
1,202604,1.55,1,0.55,Tennis
1,202604,81.0288,0,-1.0,Soccer
1,202604,1.5,1,0.5,Tennis
1,202604,1.6,1,0.6000000000000001,Tennis
1,202604,253.5504,0,-1.0,Soccer
1,202604,170.5127,0,-1.0,Soccer
1,202604,1.3,1,0.30000000000000004,FIFA
1,202604,2.28,0,-1.0,Soccer
1,202604,420.0,0,-1.0,Soccer
1,202604,113.4,0,-1.0,Soccer
1,202604,1.45,0,-1.0,Tennis
1,202604,1.65,0,-1.0,Tennis
1,202604,1.5,0,-1.0,Tennis
1,202604,225.0,0,-1.0,American Football
1,202604,1.4,0,-1.0,Tennis
1,202604,88.395,0,-1.0,Soccer
1,202604,103.3129,0,-1.0,Soccer
1,202604,1.36,1,0.3600000000000001,Tennis
1,202604,2.05,0,-1.0,Soccer
1,202604,1.4,0,-1.0,Tennis
1,202604,392.7186,0,-1.0,Soccer
1,202604,155.9356,0,-1.0,Soccer
1,202604,1.65,1,0.6499999999999999,Tennis
1,202604,6.3508,0,-1.0,Soccer
1,202604,126.5889,0,-1.0,Ice Hockey
1,202604,317.9542,0,-1.0,American Football
1,202604,89.928,0,-1.0,Soccer
1,202604,112.41,0,-1.0,Soccer
1,202604,70.0,0,-1.0,Soccer
1,202604,2.15,0,-1.0,Tennis
1,202604,1.75,1,0.75,Soccer
1,202604,117.1347,0,-1.0,Soccer
1,202604,2.0,1,1.0,Soccer
1,202604,2.05,1,1.0499999999999998,Soccer
1,202604,2.17,1,1.17,Soccer
1,202604,96.75,0,-1.0,Soccer
1,202604,99.8217,0,-1.0,Soccer
1,202604,2.9,1,1.9,Soccer
1,202604,131.9573,0,-1.0,Soccer
1,202604,1.6,0,-1.0,Tennis
1,202604,227.5027,0,-1.0,Soccer
1,202604,198.3319,0,-1.0,Soccer
1,202604,1.44,0,-1.0,Tennis
1,202604,10.5534,0,-1.0,Soccer
1,202604,5.104,0,-1.0,Soccer
1,202604,1.35,1,0.3500000000000001,Tennis
2,202605,5.8905,0,-1.0,Soccer
2,202605,1.5,1,0.5,Tennis
2,202605,1.7,0,-1.0,Tennis
2,202605,1.93,1,0.9299999999999999,Basketball
2,202605,1.95,1,0.95,Soccer
2,202605,262.2594,0,-1.0,Soccer
2,202605,134.5776,0,-1.0,Soccer
2,202605,1.6,1,0.6000000000000001,Tennis
2,202605,1.95,1,0.95,Soccer
2,202605,100.0,0,-1.0,Soccer
2,202605,96.9329,0,-1.0,Soccer
2,202605,6.3504,1,5.3504,Soccer
2,202605,1.71,0,-1.0,Basketball
2,202605,2.32,1,1.3199999999999998,Soccer
2,202605,117.1702,0,-1.0,Soccer
2,202605,1.8,1,0.8,Basketball
2,202605,61.8164,0,-1.0,Soccer
2,202605,45.8135,0,-1.0,Soccer
2,202605,2.75,1,1.75,Soccer
2,202605,5.054,1,4.054,Soccer
2,202605,1.8,1,0.8,Basketball
3,202606,1.95,0,-1.0,Basketball
3,202606,2.05,1,1.0499999999999998,Basketball
3,202606,1.9,1,0.8999999999999999,Tennis
3,202606,2.75,1,1.75,Soccer
3,202606,2.3,0,-1.0,Soccer
3,202606,2.7,0,-1.0,CS2
3,202606,2.7,0,-1.0,CS2
3,202606,93.555,0,-1.0,Basketball
3,202606,1.85,0,-1.0,Basketball
3,202606,1.7,0,-1.0,Soccer
3,202606,1.85,0,-1.0,Tennis
3,202606,1.85,0,-1.0,Tennis
3,202606,1.85,0,-1.0,Tennis
3,202606,2.05,0,-1.0,Basketball
3,202606,147.3028,0,-1.0,Ice Hockey
3,202606,2.0,1,1.0,Basketball
3,202606,1.95,0,-1.0,Basketball
3,202606,196.69,0,-1.0,Ice Hockey
3,202606,2.01,0,-1.0,Soccer
3,202606,2.0,1,1.0,Soccer
3,202606,9.72,0,-1.0,Tennis
3,202606,1.35,1,0.3500000000000001,Table Tennis
3,202606,2.35,1,1.35,Soccer
3,202606,2.4,0,-1.0,Basketball
3,202606,116.7858,0,-1.0,Ice Hockey
3,202606,1.86,0,-1.0,Basketball
3,202606,2.07,0,-1.0,Soccer
3,202606,2.15,0,-1.0,Basketball
3,202606,2.0,1,1.0,Basketball
3,202606,1.95,1,0.95,Basketball
3,202606,181.3328,0,-1.0,Basketball
3,202606,1.8,1,0.8,Basketball
3,202606,2.0,0,-1.0,Basketball
3,202606,1.9,0,-1.0,Basketball
3,202606,2.0,1,1.0,Basketball
3,202606,228.096,0,-1.0,Soccer
3,202606,93.177,0,-1.0,Soccer
