iter	Logloss
0	0.678384047
1	0.660742136
2	0.6394892998
3	0.6273773605
4	0.6126719782
5	0.5953713223
6	0.5803564873
7	0.5707060962
8	0.5584466396
9	0.5485388077
10	0.5365748795
11	0.5228155994
12	0.5118875757
13	0.505664444
14	0.4988963715
15	0.4921003916
16	0.4858903427
17	0.479419999
18	0.4740871338
19	0.4688428149
20	0.4628716025
21	0.4562688733
22	0.4490058998
23	0.4437728957
24	0.4389691151
25	0.4337141022
26	0.4267850854
27	0.4219190481
28	0.4177178351
29	0.4143135003
30	0.4095175167
31	0.4057081082
32	0.4005311724
33	0.3966379614
34	0.3928133071
35	0.3879944937
36	0.3838991392
37	0.3804098293
38	0.376842236
39	0.3741269532
40	0.3704249092
41	0.3665518505
42	0.362160054
43	0.3593390269
44	0.3560095639
45	0.3528528223
46	0.3497039238
47	0.3478452908
48	0.3431631365
49	0.3391835929
50	0.3360739204
51	0.3332752018
52	0.3300094401
53	0.3266811033
54	0.3235687085
55	0.3204104142
56	0.3173570569
57	0.3142952993
58	0.3114733993
59	0.3092024082
60	0.3082132048
61	0.3056282845
62	0.3030104541
63	0.3009983759
64	0.2985897218
65	0.2963918399
66	0.2937409768
67	0.2901666013
68	0.2875609164
69	0.2842764725
70	0.2815665751
71	0.2782835734
72	0.276820347
73	0.2739594729
74	0.2716788236
75	0.2694023206
76	0.2673480342
77	0.26444573
78	0.262560298
79	0.2599997651
80	0.2572587546
81	0.2568610938
82	0.2539389587
83	0.2514757829
84	0.2496323515
85	0.2471673795
86	0.2441745411
87	0.2432343716
88	0.2417531314
89	0.2388350373
90	0.2365494012
91	0.2350532202
92	0.2314525611
93	0.2295204905
94	0.2270863983
95	0.2267639375
96	0.2248781462
97	0.2238099971
98	0.2225873203
99	0.2201690232
100	0.218318739
101	0.2163149844
102	0.2147992297
103	0.2144033345
104	0.2139980951
105	0.2115527943
106	0.2100162044
