iter	Logloss
0	0.6453453276
1	0.6159075641
2	0.59734642
3	0.5856213317
4	0.5789860184
5	0.5756054467
6	0.5731909584
7	0.5717767556
8	0.569591209
9	0.5681113396
10	0.5666624977
11	0.5663966228
12	0.5650541579
13	0.5646103346
14	0.563696891
15	0.5633322383
16	0.5629569005
17	0.5625350093
18	0.5617237803
19	0.561598716
20	0.5615618077
21	0.5613552236
22	0.5611832488
23	0.5610910933
24	0.5609628375
25	0.5608762537
26	0.5607738439
27	0.5607002589
28	0.5607002589
29	0.560609498
30	0.560547396
31	0.560515689
32	0.5599510502
33	0.5595667921
34	0.5594899782
35	0.5594308524
36	0.559267874
37	0.5591158125
38	0.5589885028
39	0.5587618491
40	0.5582876929
41	0.5582028122
42	0.558132686
43	0.5576653407
44	0.5575067851
45	0.5574883879
46	0.5573480448
47	0.5570092513
48	0.5569018066
49	0.55636568
50	0.5554014852
51	0.5548305882
52	0.5545910265
53	0.5540187407
54	0.5536780919
55	0.5533681199
56	0.5527435969
57	0.5523056251
58	0.5518287292
59	0.5513500559
60	0.5511787814
61	0.5506783687
62	0.5504994043
63	0.5502926862
64	0.5498383028
65	0.5495534186
66	0.5488980201
