iter	Passed	Remaining
0	17	9439
1	29	8083
2	44	8237
3	58	8017
4	70	7749
5	86	7861
6	99	7759
7	112	7648
8	128	7775
9	137	7480
10	150	7392
11	157	7095
12	168	6997
13	177	6840
14	187	6715
15	200	6724
16	214	6755
17	223	6642
18	235	6614
19	243	6484
20	253	6410
21	265	6413
22	279	6441
23	296	6529
24	310	6550
25	325	6587
26	343	6686
27	353	6634
28	359	6498
29	371	6479
30	379	6383
31	388	6325
32	398	6281
33	408	6240
34	420	6218
35	434	6240
36	452	6310
37	464	6296
38	474	6258
39	490	6284
40	498	6226
41	513	6246
42	528	6263
43	543	6287
44	552	6240
45	563	6209
46	572	6159
47	584	6151
48	598	6156
49	614	6180
50	628	6187
51	640	6170
52	650	6132
53	661	6113
54	672	6086
55	684	6071
56	695	6054
57	708	6047
58	725	6075
59	739	6072
60	750	6050
61	762	6035
62	773	6013
63	787	6016
64	801	6013
65	817	6034
66	832	6039
