iter	Passed	Remaining
0	60	32423
1	65	17478
2	71	12663
3	76	10199
4	81	8589
5	85	7520
6	89	6747
7	94	6198
8	99	5824
9	105	5511
10	111	5293
11	116	5082
12	120	4833
13	124	4637
14	129	4474
15	133	4327
16	138	4204
17	142	4073
18	146	3960
19	150	3861
20	153	3757
21	157	3674
22	161	3588
23	165	3516
24	169	3446
25	172	3376
26	177	3332
27	182	3291
28	186	3244
29	191	3217
30	196	3184
31	202	3171
32	210	3194
33	218	3219
34	222	3178
35	231	3207
36	235	3169
37	240	3137
38	244	3103
39	248	3073
40	253	3051
41	258	3023
42	262	2992
43	267	2977
44	271	2953
45	276	2929
46	281	2915
47	286	2902
48	290	2877
49	295	2862
50	301	2855
51	306	2837
52	310	2814
53	314	2795
54	318	2775
55	322	2751
56	326	2733
57	330	2711
58	334	2695
59	338	2675
60	342	2654
61	347	2648
62	354	2650
63	362	2660
64	366	2642
65	370	2627
66	375	2615
67	379	2600
68	383	2586
69	389	2580
70	394	2570
71	398	2556
72	402	2543
73	409	2546
74	415	2540
75	421	2540
76	425	2525
77	430	2515
78	436	2511
79	440	2497
80	444	2488
81	450	2480
82	453	2466
83	459	2460
84	464	2453
85	471	2456
86	478	2459
87	482	2445
88	488	2440
89	495	2444
90	503	2451
