iter	Logloss
0	0.6607916401
1	0.6371880041
2	0.6177230469
3	0.602097383
4	0.5897131503
5	0.5803496605
6	0.5729031298
7	0.5662632207
8	0.5611780024
9	0.5548578382
10	0.5506500707
11	0.5473872835
12	0.5442996413
13	0.5417246217
14	0.5392183932
15	0.5376383324
16	0.5357704331
17	0.5343216229
18	0.5326004456
19	0.5311424543
20	0.5297794883
21	0.528338283
22	0.5269952641
23	0.52626049
24	0.5255561951
25	0.5249345309
26	0.5242862745
27	0.5233310467
28	0.5228977563
29	0.5223372474
30	0.5212348891
31	0.5205579133
32	0.5200917193
33	0.5194384322
34	0.5181143502
35	0.5174020546
36	0.5168669369
37	0.5161859797
38	0.5155230838
39	0.5146522205
40	0.5141243254
41	0.5134590995
42	0.5129818187
43	0.5122492271
44	0.5113686034
45	0.5106733657
46	0.5101222754
47	0.5095778647
48	0.5090894858
49	0.5081535839
50	0.5077855742
51	0.5074811955
52	0.5062762428
53	0.5059483273
54	0.5054596559
55	0.5051326684
56	0.5045477512
57	0.5040359016
58	0.5029737623
59	0.5025740804
60	0.5021031805
61	0.5016848604
62	0.5006620936
63	0.500043795
64	0.4996287075
65	0.499267559
66	0.4989676132
67	0.4986260113
68	0.4981059038
69	0.4975404754
70	0.496969222
71	0.4965592586
