iter	Passed	Remaining
0	10	20126
1	21	21098
2	27	18179
3	37	18468
4	45	18277
5	54	17995
6	62	17785
7	69	17344
8	77	17105
9	85	17110
10	94	17104
11	103	17207
12	111	16969
13	119	16970
14	128	16940
15	135	16777
16	145	16930
17	153	16945
18	163	17096
19	173	17177
20	181	17097
21	191	17206
22	198	17063
23	205	16938
24	214	16917
25	218	16604
26	223	16359
27	230	16238
28	240	16332
29	249	16396
30	256	16306
31	263	16232
32	275	16406
33	287	16606
34	296	16649
35	306	16739
36	317	16830
37	328	16969
38	338	17019
39	348	17100
40	359	17168
41	368	17166
42	379	17267
43	390	17358
44	399	17352
45	406	17285
46	415	17272
47	422	17180
48	431	17177
49	440	17167
50	448	17124
51	454	17043
52	462	17002
53	470	16944
54	478	16916
55	485	16848
56	495	16888
57	503	16851
58	513	16900
59	522	16890
60	530	16851
61	538	16832
62	546	16804
63	556	16836
64	566	16858
65	572	16764
66	579	16711
67	590	16766
68	595	16675
69	603	16635
70	612	16628
71	620	16627
72	627	16572
73	636	16566
74	644	16530
75	651	16492
76	660	16497
77	668	16467
78	679	16530
79	689	16541
80	700	16597
81	709	16603
82	717	16574
83	725	16547
84	733	16533
85	741	16499
86	750	16512
87	762	16571
88	774	16640
89	784	16654
90	793	16650
91	802	16641
92	809	16604
93	820	16636
94	828	16621
95	837	16618
96	844	16569
97	855	16596
98	862	16568
99	870	16539
100	877	16507
101	885	16476
102	894	16471
103	902	16453
104	911	16454
105	921	16460
106	929	16445
107	938	16437
108	946	16426
109	957	16448
110	967	16457
111	975	16447
112	984	16445
113	993	16437
114	1002	16435
115	1012	16449
116	1022	16449
117	1029	16426
118	1038	16411
119	1046	16393
120	1056	16408
121	1065	16395
122	1075	16404
123	1084	16400
124	1092	16394
125	1102	16392
126	1108	16349
127	1118	16357
128	1128	16367
129	1138	16375
130	1149	16405
131	1159	16406
132	1167	16387
133	1176	16378
134	1185	16380
135	1195	16381
136	1206	16408
137	1221	16476
138	1228	16442
139	1234	16400
140	1243	16392
141	1254	16415
142	1265	16437
143	1281	16511
144	1291	16521
145	1302	16533
146	1307	16486
147	1316	16477
148	1329	16517
149	1337	16491
150	1341	16427
151	1348	16400
152	1358	16404
153	1365	16373
154	1374	16361
155	1384	16363
156	1392	16342
157	1399	16314
158	1404	16263
159	1411	16235
160	1418	16200
161	1424	16161
162	1432	16140
163	1440	16126
164	1448	16111
165	1455	16083
166	1463	16058
167	1473	16071
168	1484	16078
169	1491	16057
170	1498	16032
171	1507	16019
172	1518	16039
173	1526	16024
174	1534	16004
175	1543	16001
176	1551	15975
177	1557	15946
