iter	Logloss
0	0.6895809846
1	0.6865843796
2	0.6835131789
3	0.681128685
4	0.6787419067
5	0.6770512382
6	0.6752003697
7	0.6739079641
8	0.672429888
9	0.6708209988
10	0.669544647
11	0.6684706185
12	0.6673253617
13	0.6661818761
14	0.6651602921
15	0.6643044795
16	0.663599698
17	0.6628626192
18	0.662189893
19	0.6618240765
20	0.6613120807
21	0.6607688066
22	0.6603787411
23	0.6598670299
24	0.659427816
25	0.6590307597
26	0.658665592
27	0.658253747
28	0.6577200358
29	0.6574256715
30	0.6569278182
31	0.6565476669
32	0.6563837648
33	0.6559616895
34	0.6556774325
35	0.6554671259
36	0.6550872051
37	0.6547333134
38	0.6545691546
39	0.6542643567
40	0.6541139881
41	0.6537318524
42	0.6535241926
43	0.6533716605
44	0.6531444164
45	0.6530406528
46	0.652884606
47	0.6527815747
48	0.652673694
49	0.6524998515
50	0.6522873509
51	0.6521608164
52	0.6519981502
53	0.6518975197
54	0.6517027337
55	0.6515013294
56	0.6512941777
57	0.65114764
58	0.6511000634
59	0.6509275565
60	0.6507976713
61	0.6506917062
62	0.6505537223
63	0.6504382127
64	0.6502725991
65	0.6501468387
66	0.6501057067
67	0.6499913774
68	0.6498888297
69	0.649771318
70	0.6496311217
71	0.649530421
72	0.6493952285
73	0.6493720573
74	0.6492400543
75	0.6490756974
76	0.6489413629
77	0.6488241361
78	0.6486486199
79	0.6485055426
80	0.6482895051
81	0.6480897374
82	0.6479776336
83	0.6479127711
84	0.6477681884
85	0.6476234791
86	0.6474851629
87	0.6474237079
88	0.6473164307
89	0.647178729
90	0.6471039352
91	0.6470833516
92	0.6469346778
93	0.6468499993
94	0.6467226841
95	0.6466479891
96	0.6465915268
97	0.6464461732
98	0.6463198518
99	0.6462181479
100	0.6460529942
101	0.6458765243
102	0.6457371724
103	0.6457224514
104	0.6454600022
105	0.6454350974
106	0.6454247224
107	0.6453817774
108	0.645328207
109	0.6451683043
110	0.6450326144
111	0.6449263049
112	0.6449263043
113	0.6448217375
114	0.6446713262
115	0.6446287616
116	0.644598263
117	0.6445487261
118	0.6444440959
119	0.6443755786
120	0.6442811578
121	0.644173035
122	0.6441161349
123	0.6439486992
124	0.643887461
125	0.6438038937
126	0.6437222498
127	0.643529442
128	0.6434388457
129	0.6434222384
130	0.6433548299
131	0.6432956558
132	0.6432172366
133	0.6431723947
134	0.6430401596
135	0.6429646817
136	0.6429200457
137	0.6427221078
138	0.6426824768
139	0.6426193088
140	0.6425819173
141	0.6425093128
142	0.6424694852
143	0.6423446975
144	0.6422634022
145	0.6419823554
146	0.6419017583
147	0.6418391452
148	0.6418029799
149	0.6417173677
150	0.6416525138
151	0.6416055843
152	0.6415423023
153	0.6414306363
154	0.6412435115
155	0.6411243251
156	0.6409912575
157	0.6408877877
158	0.6408272702
159	0.6406953026
160	0.6406036968
161	0.640458058
162	0.6403099491
163	0.6400841829
164	0.6399247323
165	0.639720431
166	0.6396381894
167	0.6394907642
168	0.6393012565
169	0.6392039144
170	0.6391495793
171	0.6390599941
172	0.6389718881
173	0.6389398852
174	0.6387651194
175	0.6386562193
176	0.6385748901
177	0.6385156632
178	0.6383109908
179	0.6381662409
180	0.6380134157
181	0.6379269888
182	0.6378464665
183	0.6377543738
184	0.6374749723
185	0.6373783931
186	0.6372825123
187	0.6369775835
188	0.6369231063
189	0.6368767538
190	0.6367136284
191	0.6364183245
192	0.6363283523
193	0.6362759202
194	0.6361571793
195	0.6360827346
196	0.6360077008
197	0.6357914132
198	0.6357328155
199	0.635564657
200	0.6354646424
201	0.6353740917
202	0.6352797192
203	0.6351454849
204	0.6350338949
205	0.6348922735
206	0.6347828846
207	0.6347067604
208	0.6346660227
209	0.6346519887
210	0.6345810872
211	0.6345129829
212	0.6342928365
213	0.6342175559
214	0.6340019319
215	0.6338779194
216	0.6336802064
217	0.6335432117
218	0.6334048524
219	0.6332714517
220	0.6331678091
221	0.6331348942
222	0.6329699858
223	0.6328813179
224	0.632729503
225	0.6326692837
226	0.632566122
227	0.6324891061
228	0.6323914802
229	0.6323013053
230	0.6322661364
231	0.6322184881
232	0.6320955004
233	0.6320007433
234	0.631981387
235	0.6319105018
236	0.6318181111
237	0.6317716712
238	0.6317051338
239	0.6314831662
240	0.6313591961
241	0.6312775214
242	0.6311476914
243	0.6310546081
244	0.6308600076
245	0.6307590836
246	0.6307185308
