iter	Passed	Remaining
0	3	1866
1	6	1573
2	9	1517
3	11	1380
4	13	1377
5	17	1402
6	20	1417
7	22	1354
8	24	1340
9	27	1335
10	29	1328
11	33	1368
12	36	1355
13	38	1343
14	42	1388
15	45	1380
16	47	1346
17	49	1331
18	52	1319
19	53	1286
20	55	1265
21	57	1257
22	60	1260
23	63	1255
24	68	1300
25	74	1349
26	76	1337
27	78	1325
28	81	1318
29	83	1306
30	85	1297
31	89	1306
32	93	1317
33	95	1310
34	98	1302
35	100	1294
36	103	1290
37	105	1279
38	107	1272
39	110	1267
40	112	1262
41	114	1252
42	117	1244
43	119	1238
44	121	1232
45	125	1239
46	128	1233
47	130	1230
48	132	1220
49	136	1226
50	139	1232
51	142	1230
52	146	1235
53	149	1238
54	152	1233
55	154	1227
56	160	1249
57	163	1244
58	165	1240
59	168	1236
60	172	1237
61	174	1233
62	176	1225
63	179	1224
64	182	1219
65	186	1226
66	189	1222
67	191	1217
68	195	1219
69	202	1241
70	204	1235
71	208	1238
72	210	1232
73	213	1226
74	215	1222
75	218	1218
76	220	1211
77	223	1207
78	225	1201
79	228	1197
80	230	1194
81	233	1191
82	236	1187
83	238	1182
84	242	1181
85	245	1182
86	250	1187
87	256	1202
88	259	1198
89	263	1199
90	265	1194
91	268	1190
92	271	1186
93	273	1182
94	276	1179
95	279	1175
96	281	1169
97	285	1169
98	287	1165
99	289	1159
100	292	1153
101	294	1150
102	297	1146
103	299	1140
104	303	1141
105	306	1138
106	308	1133
107	311	1131
108	314	1128
109	318	1127
110	320	1122
111	322	1118
112	324	1110
113	327	1110
114	330	1105
115	336	1112
116	340	1114
117	344	1116
118	350	1121
119	354	1124
120	359	1125
121	362	1123
122	365	1119
123	367	1115
124	369	1109
125	372	1104
126	374	1100
127	376	1095
128	379	1091
129	382	1087
130	384	1083
131	387	1079
132	389	1074
133	392	1071
134	395	1068
135	397	1064
136	399	1059
137	402	1056
138	405	1053
139	408	1049
140	410	1046
141	413	1041
142	415	1038
143	417	1033
144	421	1031
145	423	1027
146	426	1023
147	428	1019
148	430	1015
149	433	1011
150	436	1007
151	438	1003
152	440	999
153	445	1001
154	448	998
155	452	996
156	455	994
157	457	990
158	460	987
159	463	983
160	464	979
161	467	974
162	469	971
163	472	968
164	474	964
165	477	961
166	479	956
167	482	953
168	484	949
169	487	945
170	489	941
171	491	937
172	494	933
173	496	930
174	499	927
175	503	926
176	505	922
177	507	918
178	510	915
179	513	912
180	515	909
181	518	905
182	521	902
183	523	899
184	527	897
185	529	894
186	532	891
187	537	891
188	544	895
189	546	892
190	549	889
191	554	889
192	557	886
193	560	883
194	564	883
195	568	881
196	572	880
197	576	879
198	580	878
199	583	874
200	585	871
201	588	868
202	590	864
203	593	860
204	596	857
205	598	854
206	601	851
207	604	848
208	606	844
209	609	841
210	611	838
211	614	835
212	617	832
213	619	828
214	622	825
215	626	823
216	630	822
217	633	819
218	636	817
219	640	815
220	643	812
221	646	809
222	650	807
223	652	804
224	655	800
225	657	797
226	660	794
227	663	791
228	666	788
229	669	785
230	672	782
231	674	779
232	677	776
233	681	774
234	684	771
235	687	769
236	689	765
237	693	763
238	696	760
239	698	757
240	702	754
241	704	751
242	708	749
243	711	746
244	714	743
245	717	740
246	720	737
