iter	Logloss
0	0.6768139906
1	0.6634379941
2	0.6513748877
3	0.6414594695
4	0.6311971594
5	0.6230612629
6	0.6151019279
7	0.6082927286
8	0.6020454666
9	0.5963658472
10	0.5919826345
11	0.5878442211
12	0.5835949085
13	0.5792944113
14	0.5755411758
15	0.5723032208
16	0.5695829152
17	0.565882698
18	0.5642284139
19	0.5625451736
20	0.5600339778
21	0.5578705578
22	0.5566564985
23	0.5551129018
24	0.5540555643
25	0.5529433019
26	0.5512874545
27	0.5503120691
28	0.5482153547
29	0.5472534499
30	0.5463660628
31	0.5458321103
32	0.5449158171
33	0.5442570063
34	0.5435944195
35	0.5430836182
36	0.5421376722
37	0.5407896763
38	0.5399684327
39	0.5395117841
40	0.539077037
41	0.5386927331
42	0.5382303698
43	0.5378254481
44	0.5374073379
45	0.5367738243
46	0.5364684723
47	0.5358321632
48	0.5353115837
49	0.5349169514
50	0.5345438946
51	0.5343354691
52	0.5340277485
53	0.5335846246
54	0.5331287711
55	0.5327233182
56	0.5324599878
57	0.5315758365
58	0.5311751445
59	0.530939377
60	0.5306517372
61	0.5299579667
62	0.5297262129
63	0.5294384321
64	0.5292272161
65	0.5289839789
66	0.5288626067
67	0.5285256302
68	0.528282168
69	0.5279981867
70	0.5278064283
71	0.5276520726
72	0.52741645
73	0.5272045842
74	0.5270054063
75	0.5268483188
76	0.5267109504
77	0.5265714743
78	0.5262835523
79	0.5261292085
80	0.5260474384
81	0.5257524137
82	0.5255533691
83	0.5254683981
84	0.5253210177
85	0.5251131931
86	0.525035901
87	0.5247828185
88	0.5246597406
89	0.524555421
90	0.5243913311
91	0.5242495579
92	0.5241524593
93	0.5240245355
94	0.5237782974
95	0.5235309228
96	0.5233850192
97	0.523277981
98	0.5230424448
99	0.5229590898
100	0.5228522943
101	0.5227246964
102	0.5225256235
103	0.5224086575
104	0.5222477949
105	0.522066453
106	0.5218364146
107	0.5217506893
108	0.5216621637
109	0.5214921875
110	0.5213605737
111	0.5211799322
112	0.5210056428
113	0.5208790438
114	0.5206377215
115	0.5198590775
116	0.5197172019
117	0.5194789937
118	0.5193448901
119	0.5192440162
120	0.5191642442
121	0.5190720417
122	0.5189428699
123	0.5187855571
124	0.5185560728
125	0.5184472876
126	0.5183064593
127	0.5182294339
128	0.5180939553
129	0.5180162445
130	0.5178667475
131	0.5178149759
132	0.5177482814
133	0.5176783901
134	0.5176007128
135	0.5175369217
136	0.5174020306
137	0.517345993
138	0.5172679464
139	0.5171936477
140	0.5171181976
141	0.5169724739
142	0.5168659423
143	0.516649487
144	0.5162388413
145	0.5161623784
146	0.5160648086
147	0.5159706088
148	0.5158003867
149	0.5156688011
150	0.5155704099
151	0.5154743043
152	0.5154044132
153	0.5153696272
154	0.5151705047
155	0.5150359073
156	0.5149520565
157	0.5148791029
158	0.5148169961
159	0.5146727181
160	0.5146142485
161	0.514527397
162	0.5144691445
163	0.5144177099
164	0.5143032308
165	0.514211665
166	0.5141574476
167	0.5139779639
168	0.5138942812
169	0.5138321684
170	0.513701363
171	0.5135681178
172	0.5133980086
173	0.5132316138
174	0.5131852515
175	0.5130813953
176	0.5130312963
177	0.5129328041
178	0.512883919
179	0.5126359453
180	0.5125720671
181	0.5125260381
182	0.5124265414
183	0.5123674031
184	0.5123253191
185	0.5122260451
186	0.5120842133
187	0.5119965629
188	0.5118482994
189	0.5117763148
190	0.5116100997
191	0.5115419392
192	0.5114866675
193	0.5114283597
194	0.5113230931
195	0.5112212808
196	0.5111580464
197	0.5111100521
198	0.5110617386
199	0.5109297117
