iter	Passed	Remaining
0	7	1412
1	10	1019
2	15	1005
3	19	940
4	22	872
5	25	834
6	30	838
7	33	815
8	37	797
9	41	793
10	46	794
11	48	765
12	51	746
13	55	737
14	59	728
15	61	712
16	64	699
17	69	699
18	73	704
19	76	691
20	80	686
21	84	682
22	87	677
23	92	681
24	96	672
25	99	668
26	103	660
27	106	654
28	110	648
29	113	642
30	116	637
31	120	633
32	124	629
33	127	623
34	131	618
35	136	622
36	139	616
37	142	609
38	146	604
39	150	602
40	154	600
41	157	594
42	161	588
43	164	582
44	168	581
45	171	575
46	175	569
47	178	564
48	181	558
49	184	552
50	187	547
51	190	543
52	193	537
53	196	531
54	199	525
55	202	520
56	205	514
57	208	509
58	211	504
59	214	499
60	217	495
61	220	491
62	224	487
63	226	482
64	230	477
65	233	473
66	236	469
67	239	465
68	242	461
69	246	457
70	249	453
71	252	449
72	256	445
73	259	441
74	262	436
75	265	432
76	268	428
77	271	424
78	274	420
79	277	415
80	280	411
81	282	407
82	285	402
83	289	399
84	292	395
85	295	391
86	298	387
87	302	384
88	306	382
89	311	381
90	315	378
91	318	373
92	321	370
93	324	366
94	327	361
95	330	357
96	332	353
97	335	349
98	340	346
99	343	343
100	346	339
101	349	335
102	353	333
103	357	329
104	360	325
105	364	323
106	367	319
107	371	316
108	377	315
109	381	311
110	384	308
111	388	305
112	392	301
113	395	297
114	397	294
115	402	291
116	406	288
117	409	284
118	413	281
119	416	277
120	420	274
121	423	270
122	428	267
123	434	266
124	439	263
125	442	260
126	446	256
127	449	253
128	453	249
129	458	246
130	461	243
131	464	239
132	468	235
133	471	232
134	475	228
135	478	225
136	482	221
137	485	218
138	488	214
139	493	211
140	497	208
141	501	204
142	505	201
143	509	198
144	514	194
145	517	191
146	521	187
147	524	184
148	528	180
149	531	177
150	535	173
151	538	170
152	542	166
153	546	163
154	551	160
155	557	157
156	561	153
157	565	150
158	568	146
159	571	142
160	575	139
161	578	135
162	581	131
163	584	128
164	588	124
165	592	121
166	596	117
167	599	114
168	603	110
169	607	107
170	610	103
171	613	99
172	617	96
173	621	92
174	624	89
175	627	85
176	631	82
177	634	78
178	637	74
179	641	71
180	644	67
181	648	64
182	651	60
183	657	57
184	661	53
185	664	50
186	668	46
187	671	42
188	675	39
189	678	35
190	681	32
191	685	28
192	688	24
193	694	21
194	697	17
195	700	14
196	704	10
197	710	7
198	714	3
199	718	0
